# System description #######################
#

24000 atoms
2 atom types
0 72.402  xlo xhi
0 69.013  ylo yhi
0 71.905  zlo zhi
#
# for a crystal:
# lx=a;  ly2+xy2=b2;  lz2+xz2+yz2=c2
# xz=c*cos(beta);  xy=b*cos(gamma)
# xy*xz+ly*yz=b*c*cos(alpha)
#

# Elements #################################

Masses

1 15.9994
2 28.0860

Atoms

35 1 -0.735361 6.8379503 3.8227 3.0908401
61 1 -0.727105 7.6798902 1.79924 8.19975
109 1 -0.720068 8.5570097 5.5456 7.6008101
213 1 -0.735765 1.75005 4.94698 6.0883698
214 1 -0.76917 6.1581998 6.3284102 8.3404303
281 1 -0.753079 5.5282798 5.7307 2.98596
2791 2 1.5286401 4.3636098 6.1364498 3.91661
2788 2 1.45655 3.2295401 4.3888998 6.0242901
619 1 -0.745421 5.2241101 2.4793999 7.9517798
364 2 1.426 8.9802504 5.5757098 0.461744
972 1 -0.679547 5.4994102 4.4520302 0.657742
981 1 -0.719028 2.84123 1.4019901 8.3424797
1029 1 -0.7161621 3.33901 2.7827201 6.1149502
1062 2 1.41257 7.4775901 3.3030501 4.4871502
2815 2 1.52474 4.5961499 6.1072602 8.2154904
1184 2 1.45907 7.4789601 5.4781599 8.7652102
1201 2 1.47031 6.7220702 2.89926 7.5111099
1118 1 -0.715651 0.5464641 0.7047791 5.4179201
1254 2 1.46423 7.7865601 8.2138901 5.63695
1338 1 -0.769525 4.1524301 4.90725 7.2380901
1548 1 -0.711052 8.7551403 4.0698299 5.19733
1569 2 1.45628 6.3937302 4.87674 1.9553
1631 1 -0.655783 1.47452 0.700649 1.57346
1634 1 -0.785532 6.7656102 3.33093 5.95567
1646 1 -0.725219 3.75138 4.76646 4.5675102
1675 1 -0.75361 7.0489702 3.98261 8.5964699
1750 1 -0.752873 7.9352398 6.64604 5.4295602
1765 1 -0.7383091 5.46239 0.670237 3.21298
1966 1 -0.774409 4.90558 8.2455797 1.4383
2847 1 -0.685404 4.1544199 7.3906798 7.3509798
2794 1 -0.699734 7.8902502 1.83831 4.0294099
2259 2 1.4422701 3.96645 1.80202 7.2836499
2287 2 1.41751 3.5136199 7.4321499 1.37605
2298 1 -0.814069 5.0132999 6.9751702 5.0430298
2319 1 -0.716698 7.6451302 5.8123102 1.33004
871 2 1.4427901 8.9064704 5.4861899 5.98761
2359 2 1.5491001 4.8990202 8.1062098 6.1003299
2374 1 -0.675803 3.29704 6.83147 2.90565
2401 2 1.4553501 6.9979602 0.482993 3.6859
1223 1 -0.743111 2.82709 0.317746 4.1819
2343 1 -0.74223 3.51283 6.1019902 0.427269
2437 1 -0.702401 4.5693999 0.413574 6.6125498
2171 1 -0.707807 2.16766 8.3124704 1.13611
534 2 1.4236601 0.233833 4.5836702 5.6699901
2452 2 1.1329401 0.699173 8.5162401 0.618582
1669 1 -0.7153451 0.384962 2.80051 14.0417995
124 2 1.5634001 6.3171702 1.91451 17.0697002
158 1 -0.723165 2.2716999 0.902029 10.7648001
197 2 1.4848401 7.8471398 1.24446 9.7427902
253 1 -0.724787 4.0924301 7.6781001 13.3261995
