# System description #######################
#

24000 atoms
3 atom types
0 72.402 xlo xhi
0 69.013 ylo yhi
0 71.905 zlo zhi
#
# for a crystal:
# lx=a;  ly2+xy2=b2;  lz2+xz2+yz2=c2
# xz=c*cos(beta);  xy=b*cos(gamma)
# xy*xz+ly*yz=b*c*cos(alpha)
#

# Elements #################################

Masses

1 15.9994
2 28.086
3 91.224

Atoms
# number types charges
1     2   23.1511993  1.4051501   0.550392    12.4343996
2     1   7.3098102   -0.710975   6.2846098   33.0065002
3     2   10.1587     1.4251501   14.1611004  32.2234993
4     2   26.7772007  1.37684     15.0537005  10.0354996
5     2   29.7402001  1.41395     33.6254998  11.7003002
6     2   9.2645998   1.48561     29.8115998  4.5801001
7     2   12.1281996  1.44435     32.6871987  30.7963009
8     2   28.8484002  1.3718801   13.5405998  8.6406698
9     2   28.2639008  1.4093      17.6951008  9.4709196
10    1   9.3639603   -0.7187431  13.9397002  4.8473802
11    1   7.6833201   -0.6809981  18.7574005  1.93342
12    1   16.7581997  -0.705413   8.6444597   24.8757
13    1   3.26155     -0.714148   11.8687     6.8763
14    1   18.3847008  -0.6445861  24.980301   5.5850902
15    1   21.7457009  -0.715461   8.2009497   30.2978001
16    1   1.39438     -0.7414691  13.3601999  30.0456009
17    1   8.9713202   -0.704179   25.4536991  17.3426991
18    1   32.2425995  -0.733992   12.1759005  3.7272001
19    1   9.7251902   -0.7137741  19.6009999  13.8485004
20    1   19.4148007  -0.756233   25.5184002  29.9391994
21    1   10.3044996  -0.704892   21.0748997  29.4193001
22    1   33.3311997  -0.746346   17.3444004  30.9748994
23    1   11.3532     -0.699701   36.3978996  18.4990006
24    1   34.4431992  -0.698858   32.4740982  5.94069
25    3   11.7315998  1.4214      30.8661996  28.5473004
26    1   6.2160802   -0.74857    35.6982003  25.9997998
27    2   15.5516005  1.43775     30.5429993  16.4064007
28    2   3.48297     1.4387      34.5875016  16.0650997
29    2   21.5189991  1.17329     32.5876007  18.4160996
30    2   30.6515007  1.38977     3.0141599   0.89617
31    2   27.5475998  1.42991     13.5270005  6.0300798
32    2   26.0690002  1.41231     12.7124996  8.4332199
33    2   25.1459007  1.4345401   14.3916998  28.6989002
34    1   11.1153002  -0.714426   4.5058098   17.5294991
35    1   3.0908401   -0.735361   6.8379503   3.8227
36    1   25.2989006  -0.734058   26.5828991  21.0986004
37    1   24.2996998  -0.767109   6.3066301   0.379105
38    1   13.8514996  -0.748239   27.721201   17.4335995
39    1   9.9348298   -0.736716   23.1569004  19.2929001
40    1   5.3100701   -0.744223   29.9710008  27.7675991
41    1   19.8127995  -0.742689   6.2663298   13.3872004
42    1   0.725626    -0.692702   23.4871006  19.6343994
43    1   17.6182003  -0.694993   9.91749     6.9323802
44    1   5.24505     -0.758729   16.3362999  3.84455
45    1   21.6987     -0.707484   20.6630001  2.23596
46    1   22.0384007  -0.75544    27.8043995  3.86919
47    1   26.2087002  -0.678899   14.9018002  11.5507002
48    1   34.7167015  -0.6873451  29.4006004  25.0314999
49    2   32.5126     1.4481401   5.35637     0.322488
50    1   32.4947014  -0.76037    9.1891899   27.0091
51    2   4.59621     1.4043501   32.5248986  17.8292008
52    2   9.7139197   1.4461401   15.8389998  29.8132
53    2   10.9172002  1.4093      35.346901   31.9832994
54    2   33.2509995  1.52516     21.846901   30.9755002
55    2   33.7383995  1.51369     31.3388004  16.7973004
